X,Y
-10.0,-191.17578123329955
-9.993331110370123,-184.71635872835924
-9.986662220740246,-195.0952483447412
-9.97999333111037,-187.0716770509791
-9.973324441480493,-190.46229034378274
-9.966655551850616,-175.2983490243243
-9.95998666222074,-159.38500330547024
-9.953317772590864,-194.55203532270664
-9.946648882960988,-226.2241719816262
-9.93997999333111,-183.18406345966144
-9.933311103701234,-161.1930234050884
-9.926642214071357,-164.14360445991736
-9.91997332444148,-147.1373976358957
-9.913304434811604,-196.17908452805506
-9.906635545181727,-151.01688933908716
-9.89996665555185,-176.15922724698478
-9.893297765921973,-195.47992946083448
-9.886628876292097,-156.69820159196627
-9.87995998666222,-198.0783848855916
-9.873291097032345,-183.11646631974574
-9.866622207402468,-180.57862615731472
-9.859953317772591,-167.7309244148211
-9.853284428142715,-177.52995763559818
-9.846615538512838,-181.1138656649663
-9.839946648882961,-115.797552958151
-9.833277759253084,-185.96590444826722
-9.826608869623207,-171.14836343566162
-9.81993997999333,-219.46371955682378
-9.813271090363454,-179.612034358776
-9.806602200733577,-158.57226056310284
-9.7999333111037,-175.6780983518455
-9.793264421473825,-156.68226551284363
-9.786595531843949,-191.5635929846024
-9.779926642214072,-175.49430973681902
-9.773257752584195,-163.0681511809942
-9.766588862954318,-192.0746335261046
-9.759919973324442,-156.54157733611004
-9.753251083694565,-184.86026099633304
-9.746582194064688,-189.38206771211046
-9.739913304434811,-129.60842201248255
-9.733244414804934,-170.94149115887927
-9.726575525175058,-164.75811588435081
-9.719906635545183,-172.07772703544265
-9.713237745915306,-192.12340762613812
-9.706568856285429,-140.8113986069874
-9.699899966655552,-163.13541680955115
-9.693231077025676,-167.28691719503183
-9.686562187395799,-195.37193235661942
-9.679893297765922,-156.08765507442385
-9.673224408136045,-160.8477387832935
-9.666555518506168,-176.8165852472135
-9.659886628876292,-165.76708058607824
-9.653217739246415,-191.08976395682788
-9.646548849616538,-144.83481112919046
-9.639879959986661,-161.1963556591115
-9.633211070356786,-135.071214213874
-9.62654218072691,-206.22673662679952
-9.619873291097033,-151.77003433781908
-9.613204401467156,-180.45922619272318
-9.60653551183728,-137.38465774079543
-9.599866622207403,-153.01381235496387
-9.593197732577526,-190.9777059133036
-9.586528842947649,-167.03469032157372
-9.579859953317772,-183.2857296042925
-9.573191063687895,-157.4263438201403
-9.566522174058019,-174.84436821057915
-9.559853284428142,-144.6927992211866
-9.553184394798267,-124.93638250443088
-9.54651550516839,-139.27300614599937
-9.539846615538513,-174.16848829564066
-9.533177725908637,-201.14453954132068
-9.52650883627876,-170.92961029218418
-9.519839946648883,-159.85955836740433
-9.513171057019006,-151.53384921889403
-9.50650216738913,-173.6820472604595
-9.499833277759253,-163.2480841731313
-9.493164388129376,-118.46263075020804
-9.4864954984995,-146.1125705126449
-9.479826608869622,-139.28098432953982
-9.473157719239747,-145.04184548555537
-9.46648882960987,-150.88504947135098
-9.459819939979994,-180.26459581165787
-9.453151050350117,-174.372430154516
-9.44648216072024,-124.4861693023014
-9.439813271090364,-162.0832025992684
-9.433144381460487,-205.06124036169777
-9.42647549183061,-179.46840845381936
-9.419806602200733,-159.16428603977678
-9.413137712570856,-191.1188029106042
-9.40646882294098,-154.75588135318276
-9.399799933311105,-158.2958724401475
-9.393131043681228,-138.047687575711
-9.386462154051351,-191.2200089423874
-9.379793264421474,-168.76612771106764
-9.373124374791598,-164.65517960606746
-9.36645548516172,-178.39247095568976
-9.359786595531844,-134.34966913816646
-9.353117705901967,-177.03394337340714
-9.34644881627209,-182.0271772388191
-9.339779926642214,-153.52968728144813
-9.333111037012337,-147.86384986085937
-9.32644214738246,-172.04013698419934
-9.319773257752583,-123.82121706389722
-9.313104368122708,-122.44662553708234
-9.306435478492832,-139.53886034053681
-9.299766588862955,-139.95765109740879
-9.293097699233078,-145.7170539826743
-9.286428809603201,-154.78018885089585
-9.279759919973325,-138.62922214612993
-9.273091030343448,-148.49148836354362
-9.266422140713571,-122.46527573549133
-9.259753251083694,-155.77746922943788
-9.253084361453817,-98.71727343915842
-9.24641547182394,-162.16051980077057
-9.239746582194064,-147.6773185356196
-9.233077692564189,-125.39817163704696
-9.226408802934312,-124.41152990591637
-9.219739913304435,-140.2759424862472
-9.213071023674559,-118.27212625694607
-9.206402134044682,-137.2829816993058
-9.199733244414805,-141.4423399279739
-9.193064354784928,-139.65205699271874
-9.186395465155051,-180.89038169794694
-9.179726575525175,-143.40412468611981
-9.173057685895298,-152.45049494126974
-9.166388796265421,-157.19844710839794
-9.159719906635544,-128.80790693341416
-9.15305101700567,-141.54472142886468
-9.146382127375793,-158.67870081285696
-9.139713237745916,-143.38844172762077
-9.133044348116039,-104.03141439954143
-9.126375458486162,-140.13967994018483
-9.119706568856286,-141.12184855483648
-9.113037679226409,-132.19733774359966
-9.106368789596532,-137.09411782857887
-9.099699899966655,-164.09623426442715
-9.093031010336778,-168.8023501384952
-9.086362120706902,-132.70947509598605
-9.079693231077025,-140.73706004770534
-9.07302434144715,-154.06238866746588
-9.066355451817273,-120.07960315449714
-9.059686562187396,-160.7711997911159
-9.05301767255752,-123.60738067874615
-9.046348782927643,-147.92828806522874
-9.039679893297766,-114.06912053614789
-9.03301100366789,-168.2885100939367
-9.026342114038012,-137.55456379985478
-9.019673224408136,-155.2017434406846
-9.013004334778259,-154.74508403600123
-9.006335445148382,-146.47225522720538
-8.999666555518505,-119.11408537672368
-8.99299766588863,-129.35776669056523
-8.986328776258754,-160.49006333456333
-8.979659886628877,-136.13448630108493
-8.972990996999,-114.55993041132893
-8.966322107369123,-152.60800622410355
-8.959653217739247,-133.77479524807765
-8.95298432810937,-131.78673619564483
-8.946315438479493,-160.55398796083801
-8.939646548849616,-172.85327938184747
-8.93297765921974,-123.86882367035909
-8.926308769589863,-150.13062102602126
